ID	Pop.total	Pop.term	Study.total	Study.term	Pop.family	Study.family	nparents	is.trivial	p	p.adjusted	p.min	name
ZFA:0009026	32520	8	633	3	6006	224	2	false	0.002494441714237122	1.0	2.3925632449559492E-26	"fibroblast"
ZFA:0000621	32520	11	633	4	293	18	5	false	0.0025428744949622497	1.0	3.532859477858802E-20	"quadrate"
ZFA:0001127	32520	4127	633	163	5076	183	1	false	0.0026335668958603325	1.0	0.0	"visual system"
ZFA:0005023	32520	1475	633	72	8533	306	1	false	0.002814423796628087	1.0	0.0	"hematopoietic system"
ZFA:0001159	32520	1373	633	67	8533	306	1	false	0.004108454175385826	1.0	0.0	"immune system"
ZFA:0005606	32520	31	633	5	6290	230	2	false	0.004883586600743726	1.0	1.545289347022734E-84	"cranial vault"
ZFA:0001486	32520	1701	633	79	8652	308	1	false	0.005383388722768244	1.0	0.0	"epithelium"
ZFA:0000014	32520	543	633	27	790	30	4	false	0.00561571602818	1.0	2.405719254968286E-212	"dorsal aorta"
ZFA:0001512	32520	8575	633	308	10807	364	1	false	0.005703142684361319	1.0	0.0	"anatomical group"
ZFA:0009355	32520	87	633	13	629	46	1	false	0.005860099194048532	1.0	3.56025743768631E-109	"lymphoid progenitor cell"
ZFA:0005041	32520	94	633	9	8652	308	2	false	0.0061134033195414965	1.0	1.4710400866418427E-224	"anterior lateral plate mesoderm"
ZFA:0001105	32520	8681	633	311	10807	364	2	false	0.006206459444761432	1.0	0.0	"embryonic structure"
ZFA:0001439	32520	8533	633	306	10798	364	2	false	0.008233329182352431	1.0	0.0	"anatomical system"
ZFA:0001095	32520	47	633	5	1325	37	2	false	0.008399647026982423	1.0	1.0642880013017848E-87	"immature macula"
ZFA:0009127	32520	218	633	16	417	20	1	false	0.008835847259636948	1.0	1.1654151764574615E-124	"photoreceptor cell"
ZFA:0000558	32520	45	633	5	110	5	2	false	0.009982382603265748	1.0	6.211900206572506E-32	"posterior macula"
ZFA:0001308	32520	6827	633	251	10807	364	2	false	0.010902605956340376	1.0	0.0	"organism subdivision"
ZFA:0009000	32520	6006	633	224	10807	364	2	false	0.011137681576368906	1.0	0.0	"cell"
ZFA:0000263	32520	13	633	3	2928	110	2	false	0.01120549923565059	1.0	5.501006959440125E-36	"precaudal vertebra"
ZFA:0009257	32520	5	633	2	6006	224	2	false	0.012853927379442631	1.0	1.5380763290405324E-17	"neutrophilic promyelocyte"
ZFA:0000143	32520	286	633	18	8652	308	2	false	0.013514146049515369	1.0	0.0	"retinal photoreceptor layer"
ZFA:0001477	32520	8652	633	308	10807	364	1	false	0.013993561089002933	1.0	0.0	"portion of tissue"
ZFA:0001056	32520	916	633	41	3036	101	3	false	0.015089546225355879	1.0	0.0	"myotome"
ZFA:0005028	32520	146	633	11	8697	311	3	false	0.015432419032221763	1.0	2.84E-321	"ventral wall of dorsal aorta"
ZFA:0005616	32520	26	633	6	49	6	1	false	0.016464032421479143	1.0	1.7139911971971892E-14	"quadrate-entopterygoid joint"
ZFA:0000706	32520	60	633	6	7711	273	3	false	0.018832546490158412	1.0	6.215541637163995E-152	"posterior intestine"
ZFA:0000064	32520	152	633	11	8652	308	2	false	0.019648134730724465	1.0	0.0	"presumptive retinal pigmented epithelium"
ZFA:0000473	32520	997	633	45	2400	85	1	false	0.02033970094842491	1.0	0.0	"trunk musculature"
ZFA:0001543	32520	65	633	7	641	29	2	false	0.020387035239489367	1.0	8.503813094755057E-91	"paired fin cartilage"
ZFA:0000281	32520	14	633	3	166	8	3	false	0.020986465853832834	1.0	1.2697016450458494E-20	"hair cell posterior macula"
ZFA:0009326	32520	108	633	15	406	35	3	false	0.022020133160202342	1.0	1.6355242620954562E-101	"myeloid leukocyte"
ZFA:0005345	32520	62	633	6	8652	308	1	false	0.02240249331324514	1.0	3.103264279438303E-159	"adipose tissue"
ZFA:0009023	32520	131	633	15	664	46	2	false	0.0228034226771576	1.0	1.580637396950322E-142	"common lymphoid progenitor"
ZFA:0001401	32520	133	633	10	6290	230	3	false	0.02334878311994064	1.0	3.649507894941088E-279	"dorsal hyoid arch"
ZFA:0001073	32520	656	633	29	987	35	1	false	0.023851770638685512	1.0	1.3532561213771801E-272	"axial vasculature"
ZFA:0001323	32520	47	633	5	7711	273	3	false	0.02445293262977923	1.0	6.018256778788735E-124	"mid intestine"
ZFA:0000444	32520	235	633	15	6290	230	2	false	0.024774061086577308	1.0	0.0	"suspensorium"
ZFA:0000943	32520	158	633	11	1431	53	2	false	0.02569495416920658	1.0	3.866399618150332E-215	"pectoral fin skeleton"
ZFA:0000027	32520	159	633	11	2123	77	2	false	0.025702716258308632	1.0	1.319143034506569E-244	"paired fin skeleton"
ZFA:0005486	32520	12	633	4	49	6	1	false	0.025736751684947507	1.0	1.083849468892107E-11	"quadrate-metapterygoid joint"
ZFA:0001272	32520	195	633	13	6290	230	4	false	0.02595725062846439	1.0	0.0	"palatoquadrate arch"
ZFA:0001076	32520	310	633	18	7711	273	3	false	0.02641086718049969	1.0	0.0	"intestinal bulb"
ZFA:0007070	32520	62	633	5	125	5	1	false	0.027591211449302377	1.0	3.3140376607046566E-37	"otic sensory epithelium"
ZFA:0000056	32520	2252	633	95	7758	277	2	false	0.030105790341881163	1.0	0.0	"pharynx"
ZFA:0005155	32520	49	633	6	321	17	1	false	0.030446740763654057	1.0	4.397574678176819E-59	"cartilaginous joint"
ZFA:0009001	32520	417	633	20	1635	53	1	false	0.031071855768291887	1.0	0.0	"receptor cell (sensu Animalia)"
ZFA:0000339	32520	4085	633	163	8533	306	1	false	0.031090532385679576	1.0	0.0	"digestive system"
ZFA:0001678	32520	4243	633	165	7681	271	1	false	0.03238431983957195	1.0	0.0	"immature eye"
ZFA:0007088	32520	1203	633	48	1459	52	2	false	0.03452912940513793	1.0	1.8783290363902917E-293	"premigratory cranial neural crest"
ZFA:0000317	32520	147	633	10	1456	53	2	false	0.0347109494030462	1.0	3.686127078982432E-206	"postcranial axial skeleton"
ZFA:0009350	32520	64	633	11	210	22	3	false	0.034752356816274796	1.0	1.408870630020588E-55	"pro-T cell"
ZFA:0005563	32520	1	633	1	7681	271	2	false	0.03528186434077223	1.0	1.3019138133078988E-4	"sclera"
ZFA:0007087	32520	1203	633	48	1458	52	3	false	0.03530536115803656	1.0	1.070500806285513E-292	"migratory cranial neural crest"
ZFA:0009331	32520	3	633	2	146	17	4	false	0.03586836718627151	1.0	1.9681939851991753E-6	"mature B cell"
ZFA:0000254	32520	525	633	27	8687	311	2	false	0.035969817156365866	1.0	0.0	"pancreas primordium"
ZFA:0000657	32520	17	633	3	325	15	4	false	0.036657756866851035	1.0	1.0812917654114278E-28	"entopterygoid"
ZFA:0000113	32520	271	633	15	2648	90	1	false	0.036945222796502336	1.0	0.0	"head mesenchyme"
ZFA:0001580	32520	227	633	14	6299	230	2	false	0.037580459860775406	1.0	0.0	"neurocranium"
ZFA:0001099	32520	16	633	3	154	8	2	false	0.03761742166115145	1.0	4.684472013963957E-22	"immature hair cell posterior macula"
ZFA:0001460	32520	431	633	23	1239	48	2	false	0.038409999668667975	1.0	0.0	"pharyngeal arch cartilage"
ZFA:0000862	32520	78	633	7	431	19	2	false	0.038555948424626896	1.0	6.171845804490681E-88	"caudal fin skeleton"
ZFA:0000445	32520	1376	633	60	7681	271	3	false	0.041264844453692474	1.0	0.0	"optic tectum"
ZFA:0000270	32520	45	633	5	325	15	4	false	0.0419082579522196	1.0	2.6969645401470276E-56	"maxilla"
ZFA:0001158	32520	2241	633	94	8533	306	1	false	0.04270753071781322	1.0	0.0	"endocrine system"
ZFA:0005759	32520	22	633	3	3242	117	2	false	0.042793162201990954	1.0	6.980611690317004E-57	"visceral fat"
ZFA:0000538	32520	6	633	2	183	11	2	false	0.04329334483744559	1.0	2.0825042934502277E-11	"rib"
ZFA:0000140	32520	445	633	23	7863	279	4	false	0.043883239870691614	1.0	0.0	"pancreas"
ZFA:0005791	32520	9	633	2	2941	114	2	false	0.04486770781103943	1.0	2.2316651146153208E-26	"breeding tubercle"
ZFA:0005647	32520	7	633	2	290	15	1	false	0.045183299344555	1.0	3.1429037280157925E-14	"tendon"
ZFA:0001612	32520	617	633	29	2627	92	1	false	0.0453730518818517	1.0	0.0	"pharyngeal arch 1"
ZFA:0000416	32520	3974	633	155	8179	289	1	false	0.04578155133752199	1.0	0.0	"presumptive endoderm"
ZFA:0001471	32520	305	633	14	807	25	1	false	0.04662172723126531	1.0	1.4324363688575717E-231	"posterior lateral line system"
ZFA:0005494	32520	694	633	33	7876	278	2	false	0.046657792709743066	1.0	0.0	"skeletal element"
ZFA:0001371	32520	538	633	27	8533	306	3	false	0.04716082718643364	1.0	0.0	"pancreatic system"
ZFA:0001097	32520	22	633	4	62	5	2	false	0.04928664834287021	1.0	2.9141727086559436E-17	"immature posterior macula"
ZFA:0001080	32520	176	633	11	8652	308	2	false	0.04947012660867593	1.0	0.0	"sclerotome"
ZFA:0000144	32520	147	633	11	3294	142	3	false	0.049962015394242276	1.0	3.700485106874684E-260	"retinal pigmented epithelium"
ZFA:0009301	32520	84	633	6	1635	53	1	false	0.050700166278731355	1.0	3.36538218366828E-143	"dopaminergic neuron"
ZFA:0009245	32520	13	633	2	445	13	2	false	0.05127723658973641	1.0	2.7697886670526035E-25	"primary interneuron"
ZFA:0000627	32520	1	633	1	340	18	5	false	0.052941176470585334	1.0	0.0029411764705879156	"epihyal"
ZFA:0001227	32520	513	633	26	6318	231	3	false	0.053798201142587876	1.0	0.0	"mandibular arch skeleton"
ZFA:0001237	32520	1	633	1	111	6	3	false	0.05405405405405255	1.0	0.009009009009008763	"ceratobranchial 1 bone"
ZFA:0001242	32520	1	633	1	109	6	3	false	0.05504587155963331	1.0	0.009174311926605555	"ceratobranchial 2 bone"
ZFA:0001240	32520	1	633	1	108	6	3	false	0.05555555555555571	1.0	0.00925925925925929	"ceratobranchial 4 bone"
ZFA:0001241	32520	1	633	1	108	6	3	false	0.05555555555555571	1.0	0.00925925925925929	"ceratobranchial 3 bone"
ZFA:0000033	32520	382	633	20	8697	311	4	false	0.05580267939234278	1.0	0.0	"intermediate cell mass of mesoderm"
ZFA:0001357	32520	1385	633	60	8652	308	2	false	0.05596758209954404	1.0	0.0	"alar plate midbrain region"
ZFA:0000496	32520	7849	633	278	10807	364	2	false	0.056619560617266564	1.0	0.0	"compound organ"
ZFA:0001201	32520	383	633	20	5387	194	2	false	0.05773694036417747	1.0	0.0	"ventral lateral mesoderm"
ZFA:0005342	32520	2	633	1	307	9	1	false	0.05786549147346145	1.0	2.1289731962269424E-5	"anterior catecholaminergic tract"
ZFA:0005599	32520	6	633	1	103	1	1	false	0.058252427184465	1.0	6.993787876322137E-10	"ghrelin secreting cell"
ZFA:0000539	32520	31	633	2	369	5	2	false	0.058272298247072474	1.0	7.947315445148718E-46	"locus coeruleus"
ZFA:0001396	32520	1	633	1	183	11	2	false	0.060109289617488564	1.0	0.005464480874316705	"parapophysis/rib"
ZFA:0001690	32520	63	633	5	10807	364	1	false	0.06051303709309402	1.0	1.7883320833364196E-167	"groove"
ZFA:0005076	32520	580	633	28	8672	309	2	false	0.06113947857187657	1.0	0.0	"primordial vasculature"
ZFA:0001483	32520	4	633	1	189	3	2	false	0.06248250428475121	1.0	1.9419455004257634E-8	"middle lateral line ganglion"
ZFA:0009219	32520	22	633	4	218	16	1	false	0.0628789565447543	1.0	1.2045865162406435E-30	"visible light photoreceptor cell"
ZFA:0001458	32520	498	633	25	1346	52	2	false	0.06315603990676674	1.0	0.0	"cranial cartilage"
ZFA:0009049	32520	4	633	2	87	10	3	false	0.06339921694420023	1.0	4.492574896839481E-7	"mature neutrophil"
ZFA:0005738	32520	2298	633	94	8652	308	2	false	0.063690842135439	1.0	0.0	"intestinal bulb primordium"
ZFA:0000100	32520	689	633	32	7681	271	3	false	0.06386792839753937	1.0	0.0	"cerebellum"
ZFA:0001573	32520	56	633	4	706	20	1	false	0.06607821495089558	1.0	1.958760530227788E-84	"trunk ganglion"
ZFA:0001440	32520	692	633	32	7681	271	2	false	0.06691843876900028	1.0	0.0	"rhombic lip"
ZFA:0001442	32520	692	633	32	7681	271	3	false	0.06691843876900028	1.0	0.0	"upper rhombic lip"
ZFA:0009046	32520	55	633	9	120	13	2	false	0.06692012195996458	1.0	1.56537040183633E-35	"T cell"
ZFA:0001339	32520	3	633	1	88	2	1	false	0.0673981191222563	1.0	9.112779762338636E-6	"nucleus of the tract of the anterior commissure"
ZFA:0000418	32520	102	633	7	7681	271	2	false	0.0682968838435509	1.0	9.180140410108498E-235	"pretectum"
ZFA:0000126	32520	17	633	3	183	11	2	false	0.06904108905900155	1.0	2.64433609872024E-24	"centrum"
ZFA:0000519	32520	17	633	3	183	11	3	false	0.06904108905900155	1.0	2.64433609872024E-24	"hemal arch"
ZFA:0009251	32520	142	633	15	629	46	2	false	0.06960111899755275	1.0	3.313125882357679E-145	"granulocyte monocyte progenitor cell"
ZFA:0000811	32520	2	633	1	1454	52	1	false	0.07027153420652929	1.0	9.466729651976835E-7	"neural crest diencephalon"
ZFA:0000152	32520	2174	633	88	7681	271	3	false	0.07046343175030287	1.0	0.0	"retina"
ZFA:0009353	32520	5	633	2	213	20	2	false	0.07064883399939471	1.0	2.86957609330939E-10	"myeloblast"
ZFA:0009345	32520	3	633	2	16	3	1	false	0.07142857142857131	1.0	0.001785714285714283	"transitional stage B cell"
ZFA:0009277	32520	12	633	2	6006	224	1	false	0.07147001360106338	1.0	2.1983080259368267E-37	"acinar cell"
ZFA:0005421	32520	45	633	5	321	17	1	false	0.0727154584059321	1.0	4.909928886028194E-56	"autopalatine-maxillary joint"
ZFA:0001596	32520	321	633	17	6316	230	2	false	0.0760258088668425	1.0	0.0	"joint"
ZFA:0005792	32520	2	633	1	2941	114	1	false	0.07603480698618709	1.0	2.313063953898286E-7	"jaw flap"
ZFA:0005915	32520	168	633	10	8652	308	2	false	0.07686449381759619	1.0	0.0	"iris melanophore layer"
ZFA:0001402	32520	252	633	14	6290	230	2	false	0.07707531047651364	1.0	0.0	"ventral hyoid arch"
ZFA:0001276	32520	299	633	16	6308	230	3	false	0.07850906318609445	1.0	0.0	"pharyngeal arch 2 skeleton"
ZFA:0009226	32520	100	633	7	6006	224	2	false	0.07885545048240772	1.0	2.9607315165403332E-220	"stromal cell"
ZFA:0001066	32520	18	633	3	183	11	3	false	0.08001442459227608	1.0	2.8673523962026603E-25	"neural arch"
ZFA:0009090	32520	271	633	15	6006	224	1	false	0.08032442989546026	1.0	0.0	"pigment cell"
ZFA:0000530	32520	7	633	1	171	2	2	false	0.08042655658754086	1.0	1.3349992291560949E-12	"lapillus"
ZFA:0001488	32520	7681	633	271	10807	364	1	false	0.08163980012149913	1.0	0.0	"multi-tissue structure"
ZFA:0000019	32520	575	633	27	7709	274	4	false	0.08173031251832882	1.0	0.0	"epiphysis"
ZFA:0000037	32520	10807	633	364	12143	399	1	false	0.08288461582861971	1.0	0.0	"anatomical structure"
ZFA:0001284	32520	59	633	5	2256	90	2	false	0.08337804235696522	1.0	4.239161623975413E-118	"optic fissure"
ZFA:0001238	32520	196	633	11	7681	271	2	false	0.08610775515956384	1.0	0.0	"iris"
ZFA:0001390	32520	501	633	24	8687	311	3	false	0.08797222409471472	1.0	0.0	"pancreatic bud"
ZFA:0000017	32520	3971	633	155	7609	275	2	false	0.08827806200440144	1.0	0.0	"endoderm"
ZFA:0001359	32520	598	633	28	8575	308	2	false	0.08857903611770167	1.0	0.0	"pineal complex"
ZFA:0001202	32520	2255	633	90	7681	271	3	false	0.08957988894311757	1.0	0.0	"optic cup"
ZFA:0001422	32520	94	633	8	442	23	2	false	0.09047084971384918	1.0	1.0025165624932607E-98	"hyosymplectic cartilage"
ZFA:0000944	32520	150	633	9	375	15	3	false	0.09057612481891261	1.0	5.882295512078245E-109	"posterior lateral line"
ZFA:0001457	32520	23	633	3	648	31	2	false	0.09165960332957185	1.0	8.276164402745282E-43	"postcranial axial cartilage"
ZFA:0001000	32520	620	633	26	2973	97	3	false	0.09272698875877106	1.0	0.0	"mesenchyme pectoral fin"
ZFA:0001632	32520	290	633	15	8652	308	1	false	0.09380991725398599	1.0	0.0	"portion of connective tissue"
ZFA:0001511	32520	10	633	2	432	23	2	false	0.09407308723377425	1.0	1.7803273799469007E-20	"interhyal cartilage"
ZFA:0000940	32520	123	633	8	468	19	3	false	0.09465061139911789	1.0	2.037080477627843E-116	"posterior lateral line neuromast"
ZFA:0005283	32520	4	633	1	286	7	2	false	0.09484661139831577	1.0	3.6634947457510747E-9	"renal capsular space"
ZFA:0005898	32520	31	633	3	8697	311	2	false	0.09762913275322438	1.0	6.573787883615957E-89	"caudal hematopoietic tissue"
ZFA:0005156	32520	64	633	6	321	17	1	false	0.0985518338729632	1.0	4.118159425602289E-69	"fibrous joint"
ZFA:0005052	32520	2	633	1	40	2	1	false	0.09871794871794905	1.0	0.0012820512820512864	"anterior mesencephalic central artery"
ZFA:0005079	32520	2	633	1	40	2	1	false	0.09871794871794905	1.0	0.0012820512820512864	"posterior mesencephalic central artery"
ZFA:0001282	32520	50	633	4	7681	271	3	false	0.09884443190233883	1.0	1.91248967698276E-130	"adenohypophysis"
ZFA:0009328	32520	5	633	2	87	10	2	false	0.0990339962614817	1.0	2.7063704197827928E-8	"immature neutrophil"
ZFA:0005424	32520	7	633	2	85	7	2	false	0.10048609749136601	1.0	2.0259945966076488E-10	"caudal fin actinotrichium"
ZFA:0001104	32520	2105	633	90	4044	157	2	false	0.10233649991823152	1.0	0.0	"pharyngeal endoderm"
ZFA:0001207	32520	735	633	33	8681	311	2	false	0.10286810954438061	1.0	0.0	"presumptive rhombomere 1"
ZFA:0001311	32520	3	633	1	8652	308	3	false	0.10305090861238071	1.0	9.26728075147719E-12	"roof plate rhombomere region"
ZFA:0005796	32520	3	633	1	8652	308	2	false	0.10305090861238071	1.0	9.26728075147719E-12	"basal layer breeding tubercle"
ZFA:0005860	32520	2	633	1	321	17	1	false	0.10327102803738736	1.0	1.9470404984422023E-5	"interhyal-hyosymplectic joint"
ZFA:0000812	32520	3	633	1	1454	52	1	false	0.103567594964951	1.0	1.9559358785066226E-9	"neural crest telencephalon"
ZFA:0009249	32520	171	633	10	6006	224	2	false	0.10515994983115712	1.0	0.0	"melanoblast"
ZFA:0000257	32520	65	633	7	158	11	2	false	0.10572796422249106	1.0	5.148006404230857E-46	"pectoral fin cartilage"
ZFA:0005566	32520	798	633	36	6567	241	2	false	0.1079870604132531	1.0	0.0	"anterior segment eye"
ZFA:0001157	32520	219	633	12	353	15	3	false	0.11413215412742928	1.0	3.8383359362062E-101	"posterior lateral line primordium"
ZFA:0001156	32520	285	633	12	1780	52	2	false	0.11427726095597011	1.0	0.0	"posterior lateral line placode"
ZFA:0000240	32520	2	633	1	305	18	6	false	0.11473252804142578	1.0	2.157031924072311E-5	"metapterygoid"
ZFA:0001312	32520	8	633	1	69	1	2	false	0.11594202898550673	1.0	1.195964289497527E-10	"dorsal anterior lateral line ganglion"
ZFA:0001313	32520	8	633	1	69	1	2	false	0.11594202898550673	1.0	1.195964289497527E-10	"ventral anterior lateral line ganglion"
ZFA:0009292	32520	55	633	4	867	30	3	false	0.11601819380754921	1.0	1.8732111796641691E-88	"radial glial cell"
ZFA:0005561	32520	3	633	1	2767	112	2	false	0.11662272379652225	1.0	2.8352723318963643E-10	"vitreous"
ZFA:0001610	32520	110	633	7	1073	41	1	false	0.11732214971992785	1.0	2.2306971941479566E-153	"pharyngeal arch 7"
ZFA:0001031	32520	729	633	33	1054	42	2	false	0.11773349296565372	1.0	6.188114443531892E-282	"rhombomere 1"
ZFA:0005498	32520	37	633	4	321	17	1	false	0.11827217602348836	1.0	2.1644483035929344E-49	"epihyal-branchiostegal ray joint"
ZFA:0001576	32520	20	633	2	57	2	1	false	0.11904761904762005	1.0	8.262622213776067E-16	"sympathetic nervous system"
ZFA:0005040	32520	53	633	4	5387	194	2	false	0.12233995307273625	1.0	9.571724340941285E-129	"posterior lateral mesoderm"
ZFA:0001469	32520	232	633	12	8668	308	2	false	0.12339527382266896	1.0	0.0	"lateral line"
ZFA:0001491	32520	2148	633	85	7849	278	1	false	0.12494593063082327	1.0	0.0	"solid compound organ"
ZFA:0001487	32520	761	633	31	12143	399	2	false	0.12574519070786236	1.0	0.0	"portion of organism substance"
ZFA:0001123	32520	85	633	8	147	10	1	false	0.12602186591840037	1.0	5.132690813809975E-43	"axial fin skeleton"
ZFA:0009356	32520	205	633	19	629	46	1	false	0.12666579506409856	1.0	1.073835007881667E-171	"myeloid lineage restricted progenitor cell"
ZFA:0000106	32520	227	633	12	7001	256	2	false	0.12716293859275346	1.0	0.0	"extension"
ZFA:0009021	32520	329	633	27	664	46	2	false	0.12845381752563317	1.0	4.336565014000375E-199	"common myeloid progenitor"
ZFA:0009091	32520	168	633	10	1335	54	4	false	0.1303423086244043	1.0	1.2272055793104167E-218	"melanocyte"
ZFA:0001024	32520	71	633	5	2148	82	1	false	0.13148569311389185	1.0	7.298767566877908E-135	"trunk neural crest"
ZFA:0000656	32520	3	633	1	325	15	3	false	0.13255889850315722	1.0	1.764088451394795E-7	"ectopterygoid"
ZFA:0000676	32520	12	633	1	170	2	2	false	0.1365819700661131	1.0	1.2231905099248133E-18	"sagitta"
ZFA:0009241	32520	4	633	1	193	7	2	false	0.13839526011678038	1.0	1.784702104663686E-8	"pigmented epithelial cell"
ZFA:0001188	32520	4	633	1	6290	230	2	false	0.13846646730378936	1.0	1.534698286270279E-14	"Weberian apparatus"
ZFA:0000590	32520	448	633	21	6947	253	2	false	0.1385198084692585	1.0	0.0	"oral region"
ZFA:0005024	32520	642	633	28	3159	113	2	false	0.14070574928768476	1.0	0.0	"trunk vasculature"
ZFA:0005745	32520	4	633	1	6006	224	1	false	0.14107701828481278	1.0	1.846306825382608E-14	"structural cell"
ZFA:0001559	32520	76	633	5	6298	230	2	false	0.14378726414783805	1.0	5.411808810798469E-178	"vertebral column"
ZFA:0005746	32520	4	633	1	1044	40	2	false	0.14486793945784246	1.0	2.0319264616149673E-11	"notochord inner cell"
ZFA:0000121	32520	1932	633	77	5387	194	1	false	0.14571036371228216	1.0	0.0	"lateral plate mesoderm"
ZFA:0000175	32520	32	633	3	473	20	3	false	0.1459456813799882	1.0	1.952036035691473E-50	"posterior lateral line nerve"
ZFA:0005078	32520	3	633	1	40	2	1	false	0.1461538461538466	1.0	1.012145748987859E-4	"middle mesencephalic central artery"
ZFA:0001106	32520	1958	633	77	7681	271	4	false	0.146447434601411	1.0	0.0	"pharyngeal pouch"
ZFA:0009020	32520	2147	633	88	2535	99	1	false	0.1481785310077343	1.0	0.0	"multi fate stem cell"
ZFA:0009212	32520	6	633	1	154	4	1	false	0.14833809565523823	1.0	5.956927055724928E-11	"biogenic amine secreting cell"
ZFA:0000692	32520	25	633	3	235	13	4	false	0.14839236980701834	1.0	3.081101722812722E-34	"symplectic"
ZFA:0001516	32520	197	633	11	1019	41	2	false	0.14952311376723043	1.0	1.6026960132866165E-216	"ceratobranchial cartilage"
ZFA:0005859	32520	26	633	3	321	17	1	false	0.14960238883662966	1.0	7.732559963917677E-39	"ceratohyal-interhyal joint"
ZFA:0001527	32520	4	633	1	1019	41	2	false	0.15169655832381332	1.0	2.2391058202051692E-11	"epibranchial cartilage"
ZFA:0009061	32520	5	633	1	1635	53	1	false	0.15208082704718226	1.0	1.0333587867208962E-14	"adrenergic neuron"
ZFA:0000005	32520	686	633	29	865	33	2	false	0.15288664848435116	1.0	8.619588232374715E-191	"artery"
ZFA:0001609	32520	55	633	4	1073	41	1	false	0.15351288370889996	1.0	1.0769347763124804E-93	"pharyngeal arch 6"
ZFA:0000640	32520	59	633	4	7681	271	3	false	0.15406322852290366	1.0	9.985373925134593E-150	"cornea"
ZFA:0009184	32520	48	633	3	548	16	2	false	0.15732009382183543	1.0	3.5760295677825215E-70	"osteoprogenitor cell"
ZFA:0000228	32520	268	633	13	8668	308	2	false	0.15829715668024363	1.0	0.0	"lateral line primordium"
ZFA:0000124	32520	2150	633	85	8682	311	3	false	0.15830242917679596	1.0	0.0	"liver primordium"
ZFA:0001611	32520	377	633	17	2627	92	1	false	0.15868309055127983	1.0	0.0	"pharyngeal arch 2"
ZFA:0005120	32520	5	633	1	766	26	1	false	0.1589636831795061	1.0	4.610183089743155E-13	"peritoneum"
ZFA:0000354	32520	1933	633	76	7849	278	3	false	0.15925380787915164	1.0	0.0	"gill"
ZFA:0000158	32520	3	633	1	229	13	4	false	0.16148700435465216	1.0	5.062383755012744E-7	"urostyle"
ZFA:0009352	32520	8	633	2	205	19	1	false	0.16280178925322944	1.0	1.4843788845687027E-14	"neutrophil progenitor cell"
ZFA:0001628	32520	185	633	11	320	15	2	false	0.16411859644020824	1.0	5.24147773686346E-94	"replacement bone"
ZFA:0009045	32520	5	633	1	513	18	2	false	0.16414782408158982	1.0	3.444173821212548E-12	"epithelial cell of pancreas"
ZFA:0005291	32520	5	633	1	30	1	2	false	0.1666666666666663	1.0	7.017248396558763E-6	"proximal straight tubule"
ZFA:0009271	32520	3	633	1	18	1	1	false	0.16666666666666713	1.0	0.0012254901960784348	"androgen secreting cell"
ZFA:0000935	32520	5	633	1	1454	52	1	false	0.16668918432797056	1.0	1.8592988222185862E-14	"neural crest midbrain"
